id,Precio_cat
4820,5
4821,1
4822,2
4823,3
4824,3
4825,1
4826,5
4827,5
4828,3
4829,4
4830,3
4831,4
4832,1
4833,3
4834,4
4835,4
4836,2
4837,5
4838,5
4839,1
4840,1
4841,1
4842,2
4843,4
4844,1
4845,5
4846,5
4847,3
4848,3
4849,4
4850,3
4851,4
4852,2
4853,5
4854,3
4855,3
4856,5
4857,1
4858,3
4859,2
4860,3
4861,3
4862,5
4863,2
4864,2
4865,3
4866,4
4867,5
4868,4
4869,3
4870,3
4871,3
4872,3
4873,1
4874,3
4875,2
4876,5
4877,1
4878,2
4879,2
4880,5
4881,3
4882,4
4883,3
4884,1
4885,2
4886,3
4887,3
4888,5
4889,5
4890,3
4891,1
4892,3
4893,3
4894,3
4895,5
4896,2
4897,4
4898,3
4899,3
4900,3
4901,1
4902,3
4903,3
4904,1
4905,1
4906,4
4907,1
4908,3
4909,5
4910,3
4911,4
4912,2
4913,1
4914,5
4915,1
4916,5
4917,5
4918,3
4919,1
4920,3
4921,3
4922,3
4923,5
4924,3
4925,5
4926,1
4927,3
4928,5
4929,1
4930,5
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,3
4938,1
4939,5
4940,2
4941,3
4942,4
4943,5
4944,4
4945,3
4946,1
4947,2
4948,1
4949,3
4950,3
4951,3
4952,5
4953,5
4954,1
4955,2
4956,1
4957,1
4958,3
4959,3
4960,3
4961,3
4962,4
4963,5
4964,4
4965,1
4966,5
4967,3
4968,3
4969,3
4970,4
4971,5
4972,5
4973,3
4974,5
4975,5
4976,5
4977,3
4978,5
4979,3
4980,1
4981,2
4982,2
4983,3
4984,4
4985,4
4986,3
4987,3
4988,2
4989,1
4990,5
4991,1
4992,1
4993,5
4994,2
4995,3
4996,5
4997,5
4998,1
4999,3
5000,5
5001,4
5002,4
5003,5
5004,5
5005,3
5006,5
5007,3
5008,5
5009,5
5010,3
5011,5
5012,4
5013,3
5014,3
5015,5
5016,3
5017,3
5018,1
5019,5
5020,5
5021,1
5022,5
5023,1
5024,2
5025,4
5026,3
5027,1
5028,3
5029,1
5030,5
5031,5
5032,1
5033,5
5034,4
5035,3
5036,1
5037,5
5038,1
5039,5
5040,1
5041,5
5042,4
5043,2
5044,5
5045,2
5046,4
5047,3
5048,1
5049,3
5050,3
5051,4
5052,5
5053,3
5054,3
5055,1
5056,5
5057,5
5058,5
5059,5
5060,3
5061,2
5062,2
5063,3
5064,2
5065,3
5066,3
5067,4
5068,5
5069,3
5070,2
5071,1
5072,5
5073,3
5074,4
5075,4
5076,3
5077,1
5078,5
5079,3
5080,2
5081,5
5082,2
5083,1
5084,2
5085,1
5086,5
5087,4
5088,3
5089,3
5090,2
5091,1
5092,3
5093,1
5094,3
